Day,Code,Name,View,Like,Order
1,1A,productA,120,29,10
2,1A,productA,200,10,10
3,1A,productA,250,30,8
4,1A,productA,100,16,34
5,1A,productA,340,25,71
6,1A,productA,178,45,32
7,1A,productA,48,36,10
8,1A,productA,,,
9,1A,productA,230,29,10
10,1A,productA,125,32,47
11,1A,productA,180,100,27
12,1A,productA,200,29,10
13,1A,productA,112,50,19
14,1A,productA,156,76,50
15,1A,productA,50,21,21
16,1A,productA,,32,56
17,1A,productA,500,200,120
18,1A,productA,25,12,
19,1A,productA,260,90,100
20,1A,productA,45,34,10
21,1A,productA,260,130,100
22,1A,productA,200,50,50
23,1A,productA,190,124,87
24,1A,productA,200,54,10
25,1A,productA,100,90,
26,1A,productA,140,38,30
27,1A,productA,80,29,10
28,1A,productA,250,45,89
29,1A,productA,100,23,57
30,1A,productA,163,99,120
