Day,Code,Name,View,Like,Order
1,1B,productB,123,29,100
2,1B,productB,245,10,180
3,1B,productB,267,30,200
4,1B,productB,100,16,80
5,1B,productB,300,25,100
6,1B,productB,178,45,100
7,1B,productB,48,36,20
8,1B,productB,25,12,12
9,1B,productB,230,29,150
10,1B,productB,125,32,100
11,1B,productB,200,100,130
12,1B,productB,200,29,150
13,1B,productB,112,50,32
14,1B,productB,156,76,88
15,1B,productB,80,21,45
16,1B,productB,100,32,66
17,1B,productB,500,200,400
18,1B,productB,25,12,12
19,1B,productB,260,90,50
20,1B,productB,45,34,30
21,1B,productB,260,130,220
22,1B,productB,200,50,30
23,1B,productB,200,124,44
24,1B,productB,200,54,50
25,1B,productB,100,90,55
26,1B,productB,140,38,39
27,1B,productB,180,50,130
28,1B,productB,250,45,77
29,1B,productB,100,23,35
30,1B,productB,163,99,100
